feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0000002	treatment_group	ApcMUT_HpWT	-0.890733953111089	0.429443232380211	9	9	0.0767439874706437	0.337061668641555
GO.0000012	treatment_group	ApcMUT_HpWT	-0.682066499305543	0.272947757251121	9	9	0.0410588354815493	0.337061668641555
GO.0000014	treatment_group	ApcMUT_HpWT	-1.76667673709102	0.960980568985845	9	7	0.108597837505368	0.337061668641555
GO.0000015	treatment_group	ApcMUT_HpWT	-0.225075306456329	0.0955026210014471	9	9	0.050582959951868	0.337061668641555
GO.0000027	treatment_group	ApcMUT_HpWT	0.37717669783357	0.161570019517755	9	9	0.0522705069220042	0.337061668641555
GO.0000036	treatment_group	ApcMUT_HpWT	0.278610846825327	0.143624368366448	9	9	0.0935545988896871	0.337061668641555
GO.0000038	treatment_group	ApcMUT_HpWT	-0.735988955510824	0.284414033150164	9	9	0.0360634239989796	0.337061668641555
GO.0000050	treatment_group	ApcMUT_HpWT	-0.637681695382701	0.288349555043819	9	9	0.0626594424612789	0.337061668641555
GO.0000052	treatment_group	ApcMUT_HpWT	-0.652807258822667	0.315829621800326	9	9	0.0775640454456137	0.337061668641555
GO.0000053	treatment_group	ApcMUT_HpWT	-0.856218424603256	0.321466430360306	9	9	0.0323038017758127	0.337061668641555
GO.0000062	treatment_group	ApcMUT_HpWT	-0.708684621710782	0.347325900795944	9	9	0.08066495182598	0.337061668641555
GO.0000076	treatment_group	ApcMUT_HpWT	-0.808022626535141	0.34758562643219	9	9	0.0530283107925997	0.337061668641555
GO.0000077	treatment_group	ApcMUT_HpWT	-0.612783015927473	0.326303417742201	9	9	0.102473375398004	0.337061668641555
GO.0000079	treatment_group	ApcMUT_HpWT	-0.955993220173824	0.400941085454574	9	9	0.048568840830906	0.337061668641555
GO.0000082	treatment_group	ApcMUT_HpWT	-0.55003865622487	0.299710942774199	9	9	0.109105446937023	0.337061668641555
GO.0000083	treatment_group	ApcMUT_HpWT	-0.911044778984056	0.272116036995681	9	9	0.0122843264155983	0.337061668641555
GO.0000096	treatment_group	ApcMUT_HpWT	-0.923920041345819	0.300723200093668	9	9	0.0180084982288009	0.337061668641555
GO.0000112	treatment_group	ApcMUT_HpWT	-1.96868519483901	0.785505132259468	9	8	0.0406181235013118	0.337061668641555
GO.0000117	treatment_group	ApcMUT_HpWT	-0.818149849567823	0.363797124908798	9	9	0.0592926889823361	0.337061668641555
GO.0000121	treatment_group	ApcMUT_HpWT	-0.898533392579241	0.348222132192842	9	9	0.036453961521896	0.337061668641555
GO.0000122	treatment_group	ApcMUT_HpWT	-0.585381022753855	0.270235850717704	9	9	0.0669932664489536	0.337061668641555
GO.0000125	treatment_group	ApcMUT_HpWT	-0.819035400275486	0.318402040579575	9	9	0.0368823271324363	0.337061668641555
GO.0000127	treatment_group	ApcMUT_HpWT	-0.542020147569825	0.250752411330432	9	9	0.0674508916362791	0.337061668641555
GO.0000132	treatment_group	ApcMUT_HpWT	-0.901696761607467	0.384514911529127	9	9	0.0514629729998416	0.337061668641555
GO.0000137	treatment_group	ApcMUT_HpWT	-0.723985208188285	0.356635012350134	9	9	0.0819073088856619	0.337061668641555
GO.0000138	treatment_group	ApcMUT_HpWT	-0.659176206223736	0.32197342909196	9	9	0.0798479589569018	0.337061668641555
GO.0000139	treatment_group	ApcMUT_HpWT	-0.623174717889559	0.299089965980687	9	9	0.0756852213223531	0.337061668641555
GO.0000150	treatment_group	ApcMUT_HpWT	0.393298579444242	0.182997532193621	9	9	0.0686945703148927	0.337061668641555
GO.0000151	treatment_group	ApcMUT_HpWT	-0.605791613744948	0.254119045105264	9	9	0.0486034262206623	0.337061668641555
GO.0000155	treatment_group	ApcMUT_HpWT	0.407228166684947	0.191484958431182	9	9	0.0710169983468011	0.337061668641555
GO.0000156	treatment_group	ApcMUT_HpWT	0.480922809544382	0.226064175745954	9	9	0.0709448802891647	0.337061668641555
GO.0000160	treatment_group	ApcMUT_HpWT	0.435937436904327	0.192011487067925	9	9	0.0574460022241862	0.337061668641555
GO.0000164	treatment_group	ApcMUT_HpWT	-0.600784616419349	0.274362419676849	9	9	0.0647028192876068	0.337061668641555
GO.0000165	treatment_group	ApcMUT_HpWT	-0.621742161519374	0.25535434527302	9	9	0.0451003381349427	0.337061668641555
GO.0000172	treatment_group	ApcMUT_HpWT	-0.75277004261668	0.330212606527707	9	9	0.0566652769749172	0.337061668641555
GO.0000175	treatment_group	ApcMUT_HpWT	-0.673410467549941	0.276754060908596	9	9	0.0452047577435142	0.337061668641555
GO.0000183	treatment_group	ApcMUT_HpWT	-0.602352156821523	0.32902468832365	9	9	0.109829328926573	0.337061668641555
GO.0000186	treatment_group	ApcMUT_HpWT	-0.599692237154458	0.313535939662718	9	9	0.0973736744732072	0.337061668641555
GO.0000187	treatment_group	ApcMUT_HpWT	-0.680535594897577	0.2588853237749	9	9	0.0339760305165797	0.337061668641555
GO.0000188	treatment_group	ApcMUT_HpWT	-0.748662793777491	0.310176818195988	9	9	0.0465229433381209	0.337061668641555
GO.0000209	treatment_group	ApcMUT_HpWT	-0.553673895526379	0.259818850931817	9	9	0.0705659500465842	0.337061668641555
GO.0000213	treatment_group	ApcMUT_HpWT	-1.11605279767267	0.393530212463966	9	9	0.0251884858386585	0.337061668641555
GO.0000214	treatment_group	ApcMUT_HpWT	-0.948691461445596	0.394221381829228	9	9	0.0470154665960267	0.337061668641555
GO.0000215	treatment_group	ApcMUT_HpWT	-0.688830200229279	0.374631499097697	9	2	0.108553747156516	0.337061668641555
GO.0000247	treatment_group	ApcMUT_HpWT	-1.0920414790733	0.393708925819529	9	9	0.0275458289955924	0.337061668641555
GO.0000254	treatment_group	ApcMUT_HpWT	-0.704659230822166	0.274940616768007	9	9	0.0373903197941513	0.337061668641555
GO.0000255	treatment_group	ApcMUT_HpWT	0.913847796293622	0.476637680790505	9	3	0.0967161258532899	0.337061668641555
GO.0000266	treatment_group	ApcMUT_HpWT	-0.687962093577426	0.267630762272322	9	9	0.0369774455862737	0.337061668641555
GO.0000276	treatment_group	ApcMUT_HpWT	-0.569316855340287	0.304429817914016	9	9	0.103661271993788	0.337061668641555
GO.0000278	treatment_group	ApcMUT_HpWT	-0.666995423082072	0.317746830921242	9	9	0.0739649442943711	0.337061668641555
GO.0000286	treatment_group	ApcMUT_HpWT	-0.816294440980227	0.433356868213572	9	9	0.101618760922371	0.337061668641555
GO.0000288	treatment_group	ApcMUT_HpWT	-0.58994982262714	0.275900585478812	9	9	0.0698124722584995	0.337061668641555
GO.0000294	treatment_group	ApcMUT_HpWT	-0.880351756151564	0.281367260613074	9	9	0.0166367930284561	0.337061668641555
GO.0000307	treatment_group	ApcMUT_HpWT	-0.762335270351797	0.257932348041009	9	9	0.0212384176508745	0.337061668641555
GO.0000309	treatment_group	ApcMUT_HpWT	-0.534503312222905	0.28427553098076	9	9	0.102131394847397	0.337061668641555
GO.0000310	treatment_group	ApcMUT_HpWT	0.724892570282586	0.379545020766013	9	9	0.0977721298329348	0.337061668641555
GO.0000340	treatment_group	ApcMUT_HpWT	-0.741302242465036	0.288356290010982	9	9	0.0369655096753103	0.337061668641555
GO.0000349	treatment_group	ApcMUT_HpWT	-0.829017110648625	0.278206972368275	9	9	0.0205190089897616	0.337061668641555
GO.0000379	treatment_group	ApcMUT_HpWT	-1.15716443094506	0.461538637370594	9	9	0.0405633713991198	0.337061668641555
GO.0000390	treatment_group	ApcMUT_HpWT	-0.680062157577687	0.330542619606271	9	9	0.07866510736455	0.337061668641555
GO.0000398	treatment_group	ApcMUT_HpWT	-0.584104602850728	0.319138875056378	9	9	0.109904726200071	0.337061668641555
GO.0000415	treatment_group	ApcMUT_HpWT	-0.728779623567538	0.397771450460168	9	9	0.109598280825324	0.337061668641555
GO.0000495	treatment_group	ApcMUT_HpWT	-0.591479344298763	0.293289113882092	9	9	0.0835346927752608	0.337061668641555
GO.0000502	treatment_group	ApcMUT_HpWT	-0.725245902656577	0.266297360048583	9	9	0.0296178497154418	0.337061668641555
GO.0000506	treatment_group	ApcMUT_HpWT	-0.610591845585854	0.260340239314264	9	9	0.0514374659324921	0.337061668641555
GO.0000578	treatment_group	ApcMUT_HpWT	-0.766048465030967	0.268256961147308	9	9	0.0244895032719706	0.337061668641555
GO.0000720	treatment_group	ApcMUT_HpWT	-0.551605212785343	0.287039980747876	9	9	0.0960888290477168	0.337061668641555
GO.0000723	treatment_group	ApcMUT_HpWT	-0.850446215898546	0.314806189081855	9	9	0.0305729802995454	0.337061668641555
GO.0000733	treatment_group	ApcMUT_HpWT	-0.651403221010223	0.298125474586868	9	9	0.065158261318665	0.337061668641555
GO.0000746	treatment_group	ApcMUT_HpWT	2.04937254445703	0.88905046610185	9	8	0.0545773787884772	0.337061668641555
GO.0000753	treatment_group	ApcMUT_HpWT	-2.23098334637007	0.991192533774946	9	5	0.0591276687233398	0.337061668641555
GO.0000776	treatment_group	ApcMUT_HpWT	-0.65941092336262	0.288084566007589	9	9	0.0558940335028983	0.337061668641555
GO.0000779	treatment_group	ApcMUT_HpWT	-0.67279518404362	0.237062906530046	9	9	0.0251148724453094	0.337061668641555
GO.0000784	treatment_group	ApcMUT_HpWT	-0.616644855105347	0.299112748129932	9	9	0.0781825367360601	0.337061668641555
GO.0000785	treatment_group	ApcMUT_HpWT	-0.61302019620644	0.289560183265511	9	9	0.0720321061612504	0.337061668641555
GO.0000786	treatment_group	ApcMUT_HpWT	-0.71431366974619	0.257924473413912	9	9	0.0277153159495732	0.337061668641555
