feature	UniClust90_16807.IDFPLMNG_03757	UniClust90_21441.CAOCNFHN_00906	UniClust90_21441.NJOHNJCG_01071	UniClust90_40283.PGAJOGNC_02314	UniClust90_40285.EPEEOBDK_02476	UniClust90_40285.IAHIHCDK_00580	UniClust90_40285.KOOCCCBI_00608	UniClust90_40285.LMMLBGFG_02712	UniClust90_40327.FGHBMGNK_00425	UniClust90_40368.CBOEGLAA_01739	UniClust90_41310.NBDFAIIE_01685	UniClust90_41417.HDNCLDIK_01960	UniClust90_41457.NFFMAMJI_01048	UniClust90_41551.GAJJKOFK_00879	UniClust90_41559.IDPOMBJD_04092	UniClust90_41579.JJMMCFOM_03094	UniClust90_41580.LHONBIMK_03156	UniClust90_41580.NHNMHOMN_02733	UniClust90_41589.IIPEMNAD_00092	UniClust90_41589.JLPAHMOD_01349	UniClust90_41589.LLLFBKOB_02367	UniClust90_41612.GDJAPIHN_01184	UniClust90_41663.AMAHEHLD_00311	UniClust90_45125.ENCNADPN_00356	UniClust90_45125.ENCNADPN_00715	UniClust90_45125.ENCNADPN_00717	UniClust90_45125.IPHJJDGI_00591	UniClust90_45199.IDHPAOIP_00937	UniClust90_59900.IFKNLAIP_01253	UniRef90_A0A061IGN8	UniRef90_A0A0E9DCK8	UniRef90_A0A0N5E796	UniRef90_A0A173XZL4	UniRef90_A0A192CDZ5	UniRef90_A0A1B1S6K4	UniRef90_A0A1B1S7R9	UniRef90_A0A1B1SCZ0	UniRef90_A0A1Q6JY87	UniRef90_A0A1U8CVM4	UniRef90_A0A1X6RL82	UniRef90_A0A1X6RME2	UniRef90_A0A3A8ZLW4	UniRef90_A0A3A9FEX7	UniRef90_A0A3N2KEI3	UniRef90_A0A3N2KI80	UniRef90_A0A3N2LUA1	UniRef90_A0A3N2LUK0	UniRef90_A0A3N2N4J0	UniRef90_A0A3N2N6L5	UniRef90_B5CLP5	UniRef90_F6ZBU4	UniRef90_O00370	UniRef90_P04026	UniRef90_Q6QI14	UniRef90_Q6TXE2	UniRef90_Q7R7C4	UniRef90_Q7TMB6	UniRef90_Q7TQ38	UniRef90_Q9ZZM8	UniRef90_R9IVR6	UniRef90_R9J3W6	UniRef90_R9J6C4	UniRef90_R9KB99	UniRef90_R9N4V6	UniRef90_S0J3V0	UniRef90_UNK41635.BPHPLFNE_01638	UniRef90_UNK45199.OHEBKGNH_00262	UniRef90_UPI0005ABADA2	UniRef90_UPI0008102124	UniRef90_UPI0008134D77	UniRef90_UPI00081A1282	UniRef90_UPI000FFED5DC	UniRef90_UPI0010939CFD	UniRef90_V9H0W7
ca16	0.00506040052162667	7.02570214528475e-05	5.6205594484238e-05	6.70502332079234e-05	0.000953790738136525	5.25399161000965e-05	5.08943975183511e-05	8.91959062101125e-05	0	6.37189425234488e-05	0	0.00379131472569159	0.00184920139792428	7.02570214528475e-05	0.000487779694361932	0	0.000155978425155942	0.000192791687473296	0	0	0	0.000187475954899411	0	0	0	0	0	0	0	7.09167256361851e-05	0.000206225024461951	7.58894528552066e-05	0.000175642553632119	5.61103467162759e-05	4.11516847578274e-05	0.000105060215695601	5.42911143481997e-05	0.000102893442364663	8.18788366070237e-05	0.000184320305634666	0.000351440451838176	3.65336420842647e-05	5.73765750791721e-05	5.24738096135228e-05	8.4597593431342e-05	8.59485242736045e-05	5.58800512201676e-05	3.56472708912174e-05	4.48133944849705e-05	0	0.00229545986886673	0.000294591141188794	0.000862307524812922	0.00742209160628705	0.00334934240430743	0.968865965220527	0	0.000687045962252652	8.75252150039772e-05	8.26902568779008e-05	4.55122182872925e-05	8.10467793197547e-05	4.00172158072787e-05	3.96561814106224e-05	6.08894034737745e-05	0	0	0.000106320094207299	0.00011996569765027	0.000187867151089255	7.99309063619987e-05	6.46284453172869e-05	6.92035131050667e-05	0
ca17	0.400339573782728	9.72269021658062e-05	0.000980048784333115	0.00102875347553754	0.00447985749698311	0.000155100413838436	0.0001700300251823	0.000198545647788667	0	0.000588194866549964	0	0.0791568123330814	0	0.00145840677946651	0	0	0.00297527867025481	0.00341053626065169	0.000397747185418887	0.00667903665383363	0.000486135809620796	0.00403684611974648	0	0.0822063753983612	0.0077997640682416	0.0130768199508588	0.0139775969797876	0	0	0.00151338463489806	0.0040975581408225	0.00151881358447765	0.00311613263721801	0.000737337073164392	0.000357438533582221	0.00111501922459882	0.000279318806473852	0.00150645558082938	0.00170727476360347	0.00387480885908876	0.00725712886863603	0.00132092317713465	0.00103709171867174	0.000485028589640749	0.000749928859330443	0.000437923360495476	0.000755637049139602	0.000378778981080352	0.000502558382099046	0.00199909379142391	0.050819643715287	0.00628589888039033	0.0168878646282227	0.160682620846346	0.0723076339579736	0	0.00844545839443575	0	0.00207044291705898	0.00149420797448117	0.00279362315997995	0.00100896638299089	0.000907452818603212	0.00089954967071044	0.00265754225275478	0	0	0.00226515128457662	0.00559587679124133	0.00386143130390461	0.00160537805564498	0.000249404385136094	0.000715530359422464	0
ca18	0.485062340397895	0.000211590322130743	0.000740566008378311	0.000690917089477947	0.00253908005503166	0.000146098141941331	0.000110833048559778	0.000423181596895801	0	0.00041719429022743	0	0	0	0.00172798814674465	0.0107250429060482	0	0.00378867430158185	0.00457257326335356	0.0020806366989744	0.0013140804449032	0.00116374760527411	0.00573600173613222	0.0220154266462005	0	0	0	0	0.00154599450566397	0.0200178239356878	0.00168606271055134	0.000471099102929058	0.00179547038001763	0.0122338489496491	0.00207121752718705	0.000360169600144909	0.000859876311546706	0.00036815743887431	0.00197033593483801	0.00196111681625676	0.00409256464799555	0.0010687509114046	0.00178911392755229	0.00181192951939118	0.000349609648765612	0.000701084079202399	0.000479055981043229	0.000619333765479854	0.000447695259400787	0.000526802012899827	0	0.0528507228323277	0.00715492673213393	0.0186030190830975	0.180609225262739	0.081423083835419	0	0	0.0161260746012471	0.00184771046425419	0.00383787786394006	0.00437992678904788	0.00184381418990675	0.00161198824782011	0.00187078803052965	0.00331490544098563	0	0.00289867569300191	0.00260114418063934	0.00198092922841832	0.00401683021997082	0.00179837353309192	0.00014210255546658	0.000495019750573096	0.00989977579915731
ca19	0.563572521854596	0.000316836902485676	0.000475256089545488	0.000617150299002318	0.00182181660419448	9.61830515785654e-05	0.000133272641972007	0.000211225092201767	0.000563266421993395	0.000253409479323459	0	0	0.0466766233299019	0.00111261413010586	0.00992955573787531	0	0.00791496244465218	0.00975958201687215	0.0013993620048891	0.00972301191326238	0.00245548746589794	0	0	0	0	0	0	0	0	0.0008728408109453	0.000382099453181148	0.0028653522367775	0.00143359956869117	0.000653515845493305	0.000211021270899958	0.00059978281096406	0.000314394725948838	0.00125354515514367	0.00186345648675538	0.00327918306114713	0.000942014964674766	0.00092147095475958	0.000813217561538868	0.000245834243575721	0.000369466947370835	0.000402658915252789	0.000359606999918704	0.000413922065674414	0.000461845089376642	0.00192700164063345	0.0443835233120047	0.00595182483242364	0.0151906471022587	0.141899360175648	0.0661027065164302	0	0.00862774834740438	0.0132157879256337	0.00141452719272406	0.00105413139700919	0.000827279023912766	0.000895364168520653	0.00103124748911655	0.00102031324888232	0.00185419255105223	0	0	0.00244496528316917	0.00208247976724802	0.00361968972405371	0.00144836741536014	0.000122960167080842	0	0.00919491607099413
ca20	0.00400238592938253	2.72240988783712e-05	4.55077430561311e-05	0.000102324741846755	0.000815057986156761	4.38829076701527e-05	5.24705512662065e-05	3.02995514754297e-05	0.000110705999953491	3.95274532976973e-05	5.23524328876566e-05	0.00305885426281781	0.00123058248690735	0.000107758959275597	0.000293296426110406	0	0.000273342397629449	0.000332599737561226	6.50960935067624e-05	8.37981701104964e-05	0.000110463329733507	9.36954094112134e-05	0	0	0	0	0	5.34381440839573e-05	0.00080091723473777	3.11925161237263e-05	1.25529985130761e-05	4.93423442734994e-05	0.000156174370216772	7.21250377152851e-05	3.42733728296073e-05	7.56482593290687e-05	6.49949594702262e-05	0.000131537295433308	6.01214826663526e-05	0.000112068864730834	3.23700971700103e-05	6.98483638699018e-05	8.03598702067814e-05	3.39993073107497e-05	5.39059855048804e-05	9.35736882934485e-05	4.48005768159238e-05	6.15309257149752e-05	7.49511292909605e-05	0.000151551283788343	0.00135626147103851	0.000192750665420329	0.000503392736820011	0.00469043191789857	0.00218609068797689	0.975727288221314	0.000285514509405942	0.000447187431680396	5.03897120310115e-05	8.08570482184554e-05	7.30228917953736e-05	9.3429321386332e-05	8.42142864898323e-05	7.41644454495072e-05	9.5801725159429e-05	0	9.30834584216891e-05	7.8767974150769e-05	6.77206890249114e-05	4.37902658046234e-05	4.86681173632581e-05	5.91680434669465e-05	4.40506923821669e-05	0.000301448910276988
ca26	0.482406781864695	0.000827310737936368	0.00110489444497488	0.000531773766406633	0.00541612201092789	0.000220137835162954	0.000309871482645033	0.000966646629773539	0.000766027190358757	0.000908512949694252	0	0.0830467140429502	0.0366353442786142	6.89425614946973e-05	0.00979252634761645	0.0227267514500447	0	0	0.000896253299431066	0.00973313958228238	0.000829034342817453	0.000697231666247281	0.0191276030585468	0	0	0	0	0	0	0.00130716233683043	0.00395765820676354	0.00156042606068427	0.00124666135488129	0.000562148422282588	0.00064891028087491	0.00145497248318721	0.000465206675525299	0.000461950614361315	0.00187003777728561	0.00299335437262932	0.00760157131270854	0.000671506659178499	0.000638867627600949	0.000780690084963248	0.00114973594561103	0.000662282514004465	0.000906663546163078	0.000496885062865809	0.000645175531341109	0	0.043670266191365	0.00553300039310118	0.0139373958181938	0.137734164609288	0.0634485913580977	0	0	0.0132471533288956	0.00111048186553726	0.00093820959985869	0.000311934907256228	0.000365562708414157	0.000614242133408916	0.000671642260320803	0.00110307935016645	0	0	0.00218105451777106	0.00170672825698868	0.0035386343395591	0.00139612812242236	0.000334148988363443	0.00106409483862859	0
ca28	0.451866223399612	0.00134059616286666	0.00119163988070224	0.00218664294168898	0.0346169003911276	0.00178235971567657	0.00179170904414958	0.000997293179515041	0.00223847412451109	0.00147324040911591	0	0.0633898997728952	0.0286453670396832	0.000896837187342709	0.0100950749088639	0.0139884009263252	0	0	0.00119163988070224	0.00600148025707495	0.000446866771170645	0.00168380264371573	0	0	0	0	0	0	0	0.0015480039070605	0.00432525254097886	0.00167535608058917	0.00351882367126861	0.00112766806046234	0.00122694111873243	0.00266595945758861	0.00207664046539326	0.000848151155974735	0.00181645726657815	0.00338597189275582	0.00773566135776792	0.00047665802760353	0.000951660985405233	0.00130633258615423	0.00193903619804513	0.00316037394566165	0.00142922281601653	0.00145606711430698	0.00191223340620739	0	0.0573040161442336	0.0050552991610888	0.0171256661544404	0.139970135152626	0.0603478918537504	0	0	0.0154241091255778	0.00115470951440316	0.00189742597920296	0.000446866771170645	0.000753522669762943	0.000769604344865585	0.00086483363698036	0.00158885663314071	0.0135566300520054	0	0.00223741570996697	0.00182946953950286	0.00378087466045569	0.00158315987250621	0.00201632121299188	0.00188627112003704	0
ca29	0.521835004512671	0.00062950780985187	0.00062950780985187	0.00134474614809458	0.00826074614771992	0.000496100235252247	0.000491729227163768	0.000353785354253833	0	0.00069421434030453	0.0140096318909808	0	0.0269502951862057	0.000503607166160506	0.0102400506402224	0.0023669559766519	0	0	0.00127940141372984	0.00218914961190985	0.00163671755077783	0.000377704685911122	0	0.0338833935410007	0.0037951139986366	0.00654990052384493	0.0071062857761158	0.000943935725729189	0	0.00119381780998063	0.00418754512503405	0.00286953007892595	0.00253091928531542	0.000735734325750028	0.000558208036106084	0.00145014621288357	0.000677115985134892	0.0014338743088231	0.0016266072988757	0.00340919806181641	0.00762424105181044	0.00115829418647164	0.000699283240440749	0.000578947367551104	0.000993733996451502	0.000952521634474416	0.000932627119718766	0.000648846765806358	0.000873434854722264	0.00165293894949274	0.0494557526515137	0.00525085712208725	0.0172968870916397	0.145783220819881	0.0633162560312405	0	0	0.015609503496475	0.000708580815418868	0.00131104989981585	0.00113311497601238	0.00118216025794634	0.00100721433232101	0.00108013027712472	0.00126473649793719	0	0.0017235867451413	0.00217930566092067	0.00176509754779669	0.0037557932914205	0.00159656120966246	0.000544571592804842	0.000680568714213186	0
ca30	0.591454244605145	0.000560044806386586	0.000700054584164637	0.000997256782532233	0.00575649858194175	0.00020846640632624	0.000232901411536195	0.000536708419604982	0	0.000462017743717893	0	0	0	0.000420032180971344	0	0.0184997034887808	0	0	0.00138081073108474	0.0100694444425658	0.000280021833665855	0	0	0	0	0	0	0	0	0.00162966574522073	0.00471039058339506	0.00179330521641107	0.000855900072362761	0.000382936011282026	0.000350900092881411	0.000918186440645131	0.000418326446293836	0.000370910439423733	0.00191096388987566	0.00397908887633176	0.00834468754862047	0.000840064361942688	0.000342248971094649	0.000315560915339043	0.000551168721261722	0.00061513519548688	0.000575208474429544	0.000480333746131472	0.000657824124619647	0	0.0572426332893775	0.00605783554951092	0.0186561526760635	0.163475447288134	0.0727511501961858	0	0	0	0.00110267915898638	0.000666358493281572	0.000423668613664463	0.000153381997264047	0.000443368567752948	0.000460687897149619	0.00112008676513598	0	0	0.00225891383062702	0.006499418648745	0.00455960819412283	0.00174779143118467	0.000319163176385867	0.00046064233495456	0
