"taxon","lfc_(Intercept)","lfc_treatment_groupApcMUT_HpWT","se_(Intercept)","se_treatment_groupApcMUT_HpWT","W_(Intercept)","W_treatment_groupApcMUT_HpWT","p_(Intercept)","p_treatment_groupApcMUT_HpWT","q_(Intercept)","q_treatment_groupApcMUT_HpWT","diff_(Intercept)","diff_treatment_groupApcMUT_HpWT","passed_ss_(Intercept)","passed_ss_treatment_groupApcMUT_HpWT","diff_robust_(Intercept)","diff_robust_treatment_groupApcMUT_HpWT","Root","Domain","Phylum","Class","Order","Family","Genus","Species","prevalence"
"OTU_26",0.0770367665800406,-0.181562583083758,0.212801460962777,0.399615643788706,0.362012395175782,-0.454343031625052,0.732139467600053,0.668625392390539,0.917468923465565,0.890321789659585,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Christensenellales","Pumilibacteraceae",NA,NA,0.821428571428571
"OTU_233",-1.65466287674671,2.75135993492326,0.0323232310756878,0.258826770423781,-51.1911347251198,10.6301211826675,1.64168631969106e-05,0.00177905900878782,0.000837260023042443,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Christensenellales","UBA3700","RACS-045","RACS-045 sp910579785",0.642857142857143
"OTU_25",0.0947476692114794,-0.318240899279921,0.113487779789426,0.384495732482679,0.834871114645834,-0.827683826879034,0.465053306442027,0.468543615117676,0.718718746319497,0.796763829790582,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Anaerotignaceae",NA,NA,0.821428571428571
"OTU_209",-0.0361767010622906,0.16146902853976,0.224695393994312,0.36917689390922,-0.16100330504864,0.437375770812637,0.876638931135919,0.675015213075241,0.93328065646962,0.890321789659585,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","1XD8-76","1XD8-76 sp910573755",1
"OTU_210",-0.0610780795192075,0.20629150976221,0.310009430779304,0.451361101055048,-0.197020069246503,0.457043172927413,0.849410298259794,0.661485595349329,0.925659429688493,0.890321789659585,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","1XD8-76","1XD8-76 sp910578085",1
"OTU_154",-0.502647750607384,0.643949450683049,0.331081381997455,0.559500145215276,-1.51819998930428,1.15093705728223,0.226260388176277,0.333170049768247,0.487575202689723,0.749632611978556,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp910579755",0.821428571428571
"OTU_155",-0.593965948559911,1.16548967403548,0.262419656248735,0.372237900382502,-2.26342019134771,3.13103440793603,0.0580378985403758,0.0165857085944787,0.206506941318081,0.226566993278378,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp910584375",0.857142857142857
"OTU_169",0.445107861012654,-0.879466765206518,0.0715907543617995,0.278107759635398,6.21739308351473,-3.16232372070275,0.0083870580034224,0.0507800631668848,0.0534674947718178,0.329644327484106,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Brotaphodocola","Brotaphodocola sp009911065",0.642857142857143
"OTU_60",-0.036690569413213,0.162393991571421,0.166807883976506,0.296162570299568,-0.219957046025358,0.548327195456062,0.832181570211329,0.600509079371631,0.925659429688493,0.870088030414,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Brotaphodocola",NA,1
"OTU_207",-0.347832602465113,0.470258362352205,0.0296867764955645,0.333256932027331,-11.7167521545185,1.41109851636526,0.000303473753809682,0.231049006943642,0.00580393554161016,0.654638853006985,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CANRXD01","CANRXD01 sp910586315",0.821428571428571
