feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_UPI0008102124	treatment_group	ApcMUT_HpWT	-1.77362367461925	1.4827515523283	9	9	0.270570204710135	0.455049889739772
UniRef90_UNK41635.BPHPLFNE_01638	treatment_group	ApcMUT_HpWT	-0.250000000000001	0.21957751641342	9	1	0.292351992440237	0.480756609790612
UniClust90_59900.IFKNLAIP_01253	treatment_group	ApcMUT_HpWT	1.32869763548029	1.24268127732605	9	2	0.320449196184955	0.515505228645362
UniClust90_41310.NBDFAIIE_01685	treatment_group	ApcMUT_HpWT	-2.06598668770513	2.00311744937118	9	2	0.336672421883847	0.530079983391589
UniClust90_40327.FGHBMGNK_00425	treatment_group	ApcMUT_HpWT	-1.412676316184	1.39915323810996	9	4	0.346275346411533	0.533841159051113
UniClust90_41559.IDPOMBJD_04092	treatment_group	ApcMUT_HpWT	-1.57149977219947	1.99924142356841	9	7	0.457617587797813	0.611869389453047
UniRef90_A0A192CDZ5	treatment_group	ApcMUT_HpWT	-0.969054572507848	1.18858835475863	9	9	0.441754474469992	0.611869389453047
UniRef90_A0A3A8ZLW4	treatment_group	ApcMUT_HpWT	-1.07756001042229	1.34326523469319	9	9	0.448812992644686	0.611869389453047
UniRef90_Q7TQ38	treatment_group	ApcMUT_HpWT	-1.59512839503985	1.97499633126742	9	7	0.445858754052674	0.611869389453047
UniRef90_Q9ZZM8	treatment_group	ApcMUT_HpWT	-1.07846058148693	1.33187088677251	9	9	0.444742562011486	0.611869389453047
UniRef90_R9IVR6	treatment_group	ApcMUT_HpWT	-1.08505510669092	1.32174078019736	9	9	0.438745877738136	0.611869389453047
UniRef90_R9KB99	treatment_group	ApcMUT_HpWT	-0.962984379473195	1.24061236300379	9	9	0.463036294721225	0.611869389453047
UniRef90_R9N4V6	treatment_group	ApcMUT_HpWT	-1.07823275569599	1.28787237860705	9	9	0.43012164985963	0.611869389453047
UniRef90_S0J3V0	treatment_group	ApcMUT_HpWT	-1.00631684363315	1.4207860784635	9	9	0.501667801860059	0.651288023467445
UniClust90_41417.HDNCLDIK_01960	treatment_group	ApcMUT_HpWT	-1.18334096157335	1.85281552386763	9	5	0.543359572957414	0.687811096533628
UniRef90_A0A3A9FEX7	treatment_group	ApcMUT_HpWT	-0.734592217411924	1.18889294345032	9	9	0.556215047897755	0.687811096533628
UniRef90_B5CLP5	treatment_group	ApcMUT_HpWT	0.966200735255741	1.56972904764403	9	4	0.557684672865104	0.687811096533628
UniClust90_41589.LLLFBKOB_02367	treatment_group	ApcMUT_HpWT	-0.736959697630672	1.25658511342578	9	8	0.575970107982974	0.698717835913772
UniRef90_A0A173XZL4	treatment_group	ApcMUT_HpWT	-0.69525482416205	1.43468152144322	9	9	0.642751634858462	0.767155177089132
UniClust90_45125.ENCNADPN_00356	treatment_group	ApcMUT_HpWT	0.205734382303531	0.561470574845611	9	2	0.724875772858467	0.851441383992485
UniClust90_41551.GAJJKOFK_00879	treatment_group	ApcMUT_HpWT	0.45257135469039	1.3282785350753	9	9	0.743311455928918	0.859453870917812
UniClust90_45125.ENCNADPN_00715	treatment_group	ApcMUT_HpWT	0.15785745256352	0.511947167266373	9	2	0.766791763877006	0.860959136145299
UniClust90_45125.ENCNADPN_00717	treatment_group	ApcMUT_HpWT	0.149493368942428	0.50339626062246	9	2	0.775108324459692	0.860959136145299
UniClust90_45125.IPHJJDGI_00591	treatment_group	ApcMUT_HpWT	0.145189748493173	0.499009652902179	9	2	0.779517055699122	0.860959136145299
UniRef90_A0A1Q6JY87	treatment_group	ApcMUT_HpWT	-0.296640198375056	1.11555414407012	9	9	0.797968105650474	0.868377056149045
UniClust90_41612.GDJAPIHN_01184	treatment_group	ApcMUT_HpWT	0.254537722950868	1.88675310668779	9	7	0.896482004701607	0.947709547827413
UniRef90_R9J6C4	treatment_group	ApcMUT_HpWT	-0.180927933490902	1.20687358869211	9	9	0.885060120252165	0.947709547827413
UniClust90_45199.IDHPAOIP_00937	treatment_group	ApcMUT_HpWT	0.0852175910135793	1.71428809018613	9	3	0.961742008168271	0.988457063950723
UniRef90_UNK45199.OHEBKGNH_00262	treatment_group	ApcMUT_HpWT	0.0894587403986411	1.74199036390156	9	3	0.960477899483319	0.988457063950723
UniClust90_41663.AMAHEHLD_00311	treatment_group	ApcMUT_HpWT	-0.00942825862330525	0.350178090352637	9	2	0.979271702329629	0.992686383183459
UniRef90_R9J3W6	treatment_group	ApcMUT_HpWT	-0.00335791814239827	1.56470889267941	9	9	0.99834759213115	0.99834759213115
