"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"PF15796","treatment_group","ApcMUT_HpWT",0.232489848081139,0.624100584199291,0.720528615048297,"treatment_groupApcMUT_HpWT",0.829677235196098,9,3
"PF16592","treatment_group","ApcMUT_HpWT",0.1419245407105,0.38114907197857,0.720642635216171,"treatment_groupApcMUT_HpWT",0.829677235196098,9,3
"PF16595","treatment_group","ApcMUT_HpWT",0.1419245407105,0.38114907197857,0.720642635216171,"treatment_groupApcMUT_HpWT",0.829677235196098,9,3
"PF01928","treatment_group","ApcMUT_HpWT",-0.0986560691925135,0.265579866062809,0.721273096320061,"treatment_groupApcMUT_HpWT",0.830097399086744,9,9
"PF07842","treatment_group","ApcMUT_HpWT",-0.234017756196139,0.630323795864034,0.721421417047327,"treatment_groupApcMUT_HpWT",0.830097399086744,9,5
"PF12457","treatment_group","ApcMUT_HpWT",-0.234017756196139,0.630323795864034,0.721421417047327,"treatment_groupApcMUT_HpWT",0.830097399086744,9,5
"PF13378","treatment_group","ApcMUT_HpWT",0.149918750036294,0.404182857576427,0.721669146771787,"treatment_groupApcMUT_HpWT",0.830097399086744,9,9
"PF03938","treatment_group","ApcMUT_HpWT",-0.209811212229757,0.565933677187536,0.721799861506089,"treatment_groupApcMUT_HpWT",0.830097399086744,9,9
"PF01431","treatment_group","ApcMUT_HpWT",0.144554725047454,0.390012070870207,0.721866084367336,"treatment_groupApcMUT_HpWT",0.830097399086744,9,9
"PF14106","treatment_group","ApcMUT_HpWT",0.511521101861697,1.38045863210478,0.721935438424882,"treatment_groupApcMUT_HpWT",0.830097399086744,9,6
"PF13716","treatment_group","ApcMUT_HpWT",-0.170217808144351,0.45952365638636,0.722022370966037,"treatment_groupApcMUT_HpWT",0.830097399086744,9,4
"PF05985","treatment_group","ApcMUT_HpWT",-0.477637040355612,1.29126302204657,0.722395160679283,"treatment_groupApcMUT_HpWT",0.830332655545428,9,6
"PF13588","treatment_group","ApcMUT_HpWT",0.195000553740859,0.527343532227458,0.722480767218165,"treatment_groupApcMUT_HpWT",0.830332655545428,9,9
"PF05974","treatment_group","ApcMUT_HpWT",0.372271301537622,1.00826523424414,0.722879443755782,"treatment_groupApcMUT_HpWT",0.830642283189842,9,7
"PF16303","treatment_group","ApcMUT_HpWT",0.362678365912774,0.982748820563682,0.723004041113897,"treatment_groupApcMUT_HpWT",0.830642283189842,9,8
"PF03063","treatment_group","ApcMUT_HpWT",0.132833601767491,0.361253371497792,0.723961529056417,"treatment_groupApcMUT_HpWT",0.831501664855208,9,9
"PF09092","treatment_group","ApcMUT_HpWT",-0.169761761827954,0.46213851330542,0.724220085138346,"treatment_groupApcMUT_HpWT",0.831501664855208,9,9
"PF09093","treatment_group","ApcMUT_HpWT",-0.169761761827954,0.46213851330542,0.724220085138346,"treatment_groupApcMUT_HpWT",0.831501664855208,9,9
"PF13195","treatment_group","ApcMUT_HpWT",0.578928079249653,1.57624447823755,0.724260313214347,"treatment_groupApcMUT_HpWT",0.831501664855208,9,7
"PF05534","treatment_group","ApcMUT_HpWT",0.10985324288718,0.299542946477265,0.724650558453826,"treatment_groupApcMUT_HpWT",0.831803763290973,9,9
"PF12970","treatment_group","ApcMUT_HpWT",-0.297319079134878,0.811685324029593,0.724962939629314,"treatment_groupApcMUT_HpWT",0.832016393709966,9,8
"PF15388","treatment_group","ApcMUT_HpWT",-0.20141589599126,0.550624240025655,0.72532188568678,"treatment_groupApcMUT_HpWT",0.832257006043881,9,7
"PF00868","treatment_group","ApcMUT_HpWT",-0.102937642285155,0.281520859154479,0.725426950255852,"treatment_groupApcMUT_HpWT",0.832257006043881,9,9
"PF04326","treatment_group","ApcMUT_HpWT",0.106433835994951,0.291805449913674,0.726073766427508,"treatment_groupApcMUT_HpWT",0.832853063541037,9,9
"PF02212","treatment_group","ApcMUT_HpWT",-0.112422241608678,0.308533639768103,0.726335508487679,"treatment_groupApcMUT_HpWT",0.833007284883171,9,9
"PF01031","treatment_group","ApcMUT_HpWT",-0.102248889357011,0.281230964457724,0.726906808288394,"treatment_groupApcMUT_HpWT",0.833421218986737,9,9
"PF12835","treatment_group","ApcMUT_HpWT",-0.13500914193262,0.371492756315367,0.727016028213315,"treatment_groupApcMUT_HpWT",0.833421218986737,9,2
